,ID_NUM,Match_Prop,L_Min,Run_time,Patterns_Found,Expected_Patterns,Length of Input Strings
30,30.0,0.75,15.0,2.227883815765381,24.0,24.0,1080.0
31,31.0,0.75,15.0,6.446397066116333,33.0,34.0,1530.0
32,32.0,0.75,15.0,9.757317543029785,37.0,39.0,1755.0
33,33.0,0.75,15.0,14.96183705329895,34.0,35.0,1575.0
34,34.0,0.75,15.0,5.275539398193359,27.0,28.0,1260.0
35,35.0,0.75,15.0,5.085598468780518,28.0,29.0,1305.0
36,36.0,0.75,15.0,7.300137996673584,36.0,37.0,1665.0
37,37.0,0.75,15.0,15.481574296951294,46.0,47.0,2115.0
38,38.0,0.75,15.0,5.6894450187683105,30.0,30.0,1350.0
39,39.0,0.75,15.0,3.9310948848724365,27.0,27.0,1215.0
40,40.0,0.75,15.0,9.760590553283691,35.0,37.0,1665.0
41,41.0,0.75,15.0,2.0117788314819336,15.0,15.0,675.0
42,42.0,0.75,15.0,3.184136152267456,19.0,19.0,855.0
43,43.0,0.75,15.0,1.3078007698059082,11.0,11.0,495.0
44,44.0,0.75,15.0,11.0826735496521,43.0,44.0,1980.0
45,45.0,0.75,15.0,2.3185956478118896,20.0,21.0,945.0
46,46.0,0.75,15.0,3.2745893001556396,26.0,27.0,1215.0
47,47.0,0.75,15.0,12.990760087966919,36.0,37.0,1665.0
48,48.0,0.75,15.0,12.849269151687622,43.0,43.0,1935.0
49,49.0,0.75,15.0,4.596826553344727,31.0,31.0,1395.0
50,50.0,0.75,15.0,13.302225589752197,37.0,39.0,1755.0
51,51.0,0.75,15.0,13.200571775436401,38.0,39.0,1755.0
52,52.0,0.75,15.0,6.204285144805908,31.0,33.0,1485.0
53,53.0,0.75,15.0,8.588518381118774,38.0,40.0,1800.0
54,54.0,0.75,15.0,7.0517497062683105,34.0,36.0,1620.0
55,55.0,0.75,15.0,2.076371908187866,21.0,21.0,945.0
56,56.0,0.75,15.0,3.469893455505371,26.0,26.0,1170.0
57,57.0,0.75,15.0,9.625609874725342,41.0,41.0,1845.0
58,58.0,0.75,15.0,19.31889820098877,48.0,49.0,2205.0
59,59.0,0.75,15.0,5.489592552185059,31.0,31.0,1395.0
60,60.0,0.75,15.0,0.8860478401184082,13.0,13.0,585.0
61,61.0,0.75,15.0,14.393362045288086,43.0,45.0,2025.0
62,62.0,0.75,15.0,13.78498888015747,45.0,46.0,2070.0
63,63.0,0.75,15.0,4.952838659286499,30.0,31.0,1395.0
64,64.0,0.75,15.0,1.2539050579071045,15.0,16.0,720.0
65,65.0,0.75,15.0,0.9814510345458984,14.0,14.0,630.0
66,66.0,0.75,15.0,8.591527700424194,35.0,36.0,1620.0
67,67.0,0.75,15.0,5.426482677459717,28.0,30.0,1350.0
68,68.0,0.75,15.0,1.6757428646087646,18.0,18.0,810.0
69,69.0,0.75,15.0,4.641987562179565,28.0,28.0,1260.0
70,70.0,0.75,15.0,0.7320864200592041,12.0,12.0,540.0
71,71.0,0.75,15.0,0.8625907897949219,13.0,13.0,585.0
72,72.0,0.75,15.0,4.209158897399902,29.0,29.0,1305.0
73,73.0,0.75,15.0,3.6427011489868164,25.0,27.0,1215.0
74,74.0,0.75,15.0,2.0478644371032715,21.0,22.0,990.0
75,75.0,0.75,15.0,7.3966734409332275,38.0,38.0,1710.0
76,76.0,0.75,15.0,1.5022656917572021,18.0,18.0,810.0
77,77.0,0.75,15.0,13.26650094985962,46.0,46.0,2070.0
78,78.0,0.75,15.0,0.7687208652496338,13.0,13.0,585.0
79,79.0,0.75,15.0,4.903003692626953,29.0,30.0,1350.0
80,80.0,0.75,15.0,5.447495460510254,33.0,33.0,1485.0
81,81.0,0.75,15.0,0.8292899131774902,13.0,13.0,585.0
82,82.0,0.75,15.0,7.03557014465332,37.0,38.0,1710.0
83,83.0,0.75,15.0,0.561814546585083,10.0,10.0,450.0
84,84.0,0.75,15.0,6.494614601135254,34.0,35.0,1575.0
85,85.0,0.75,15.0,3.5721497535705566,27.0,27.0,1215.0
86,86.0,0.75,15.0,7.092723369598389,37.0,38.0,1710.0
87,87.0,0.75,15.0,30.48254704475403,46.0,46.0,2070.0
88,88.0,0.75,15.0,4.595891237258911,29.0,30.0,1350.0
89,89.0,0.75,15.0,7.058684349060059,32.0,35.0,1575.0
90,90.0,0.75,15.0,1.4262375831604004,17.0,17.0,765.0
91,91.0,0.75,15.0,5.580763101577759,32.0,32.0,1440.0
92,92.0,0.75,15.0,1.8073902130126953,19.0,19.0,855.0
93,93.0,0.75,15.0,4.25989556312561,27.0,29.0,1305.0
94,94.0,0.75,15.0,3.042530059814453,24.0,25.0,1125.0
95,95.0,0.75,15.0,1.0673418045043945,15.0,15.0,675.0
96,96.0,0.75,15.0,14.367552518844604,43.0,43.0,1935.0
97,97.0,0.75,15.0,9.652291059494019,40.0,42.0,1890.0
98,98.0,0.75,15.0,5.39558219909668,32.0,33.0,1485.0
99,99.0,0.75,15.0,0.7538378238677979,13.0,13.0,585.0
